ElementID,Volume,Area,Length,Height,Thickness/Width,Base_offset,Top_offset,Number_of_Faces,Bounding_Box_Width,Bounding_Box_Height,Bounding_Box_Depth,Centroid_X,Centroid_Y,Centroid_Z,Orientation_Angle,Curvature,source,is_rare_class,SECClasS_Code_Ss_1,SECClasS_Code_Ss_1_encode,Category_Curtain Panels,Category_Doors,Category_Floors,Category_Roofs,Category_Stairs,Category_Structural Columns,Category_Structural Foundations,Category_Structural Framing,Category_Walls,Category_Windows,load_bearing_status_binary
1593196,5.99,23.98,1.79,13.37,0.25,-0.61,0.89,6.0,0.25,13.37,1.79,1044.09,284.54,90.08,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1599045,29.14,116.58,5.91,19.71,0.25,-0.35,0.67,6.0,0.25,19.71,6.04,1049.5,292.42,90.52,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1599047,2.73,10.93,0.43,19.71,0.25,-0.35,0.67,6.0,0.25,19.71,0.55,1053.0,295.1,90.52,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1599296,16.01,64.06,3.5,19.71,0.25,-0.35,0.67,6.0,3.5,19.71,0.25,1051.25,295.25,90.52,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1600963,9.58,38.33,2.18,19.71,0.25,-0.35,0.67,10.0,2.18,19.71,0.25,1051.83,289.33,90.82,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1603284,24.84,99.35,5.92,16.11,0.25,-0.35,0.89,6.0,0.25,16.11,6.17,1098.5,292.29,88.71,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1603286,24.73,99.35,6.04,16.11,0.25,-0.35,0.89,10.0,0.25,16.11,6.17,1102.0,292.29,88.68,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1603288,13.09,52.36,3.5,16.11,0.25,-0.35,0.89,6.0,3.5,16.11,0.25,1100.25,295.25,88.71,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1603290,0.83,3.3,0.33,16.11,0.25,-0.35,0.89,6.0,0.33,16.11,0.25,1101.77,289.33,88.71,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1605547,7.73,30.93,2.18,16.11,0.25,-0.35,0.89,10.0,2.18,16.11,0.25,1099.68,289.33,88.97,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1621173,18.37,73.48,7.05,10.24,0.25,-1.41,-0.25,6.0,0.25,10.24,7.18,989.68,309.17,84.72,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1621326,1.79,5.97,1.66,3.9,0.3,-1.41,-0.51,8.0,1.66,3.9,0.3,988.79,303.97,81.55,3.14,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1621577,4.71,23.55,3.61,4.02,0.2,-1.0,0.0,16.0,3.76,8.96,0.2,1017.84,289.62,86.91,3.14,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1621686,5.73,28.67,13.9,3.02,0.2,0.0,0.0,12.0,13.9,3.02,0.2,1037.15,289.62,85.09,3.14,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1635326,2.07,8.26,13.98,0.35,0.25,-0.35,0.0,6.0,14.13,2.7,0.25,1061.89,281.74,82.19,3.14,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1654917,4.77,19.73,5.36,3.56,0.25,-0.5,0.0,6.0,3.64,3.56,3.6,977.65,302.23,88.31,2.36,0.08,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1654927,21.29,85.2,23.8,3.56,0.25,-0.5,0.0,6.0,0.33,3.56,23.93,976.35,288.11,88.31,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1654940,13.51,54.03,15.05,3.56,0.25,-0.5,0.0,6.0,0.34,3.56,15.18,975.71,268.81,88.31,1.56,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1655115,0.42,1.69,0.73,3.56,0.25,-0.5,0.0,6.0,0.73,3.56,0.25,976.03,276.28,88.31,3.14,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1655180,11.86,47.61,13.19,3.56,0.25,-0.5,0.0,6.0,13.37,3.56,0.25,986.48,303.54,88.31,3.14,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1655193,1.09,4.36,1.22,3.56,0.25,-0.5,0.0,6.0,0.72,3.56,1.32,993.27,304.24,88.31,1.93,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1655205,28.1,112.49,37.36,3.56,0.25,-0.5,0.0,6.0,37.36,8.07,0.71,1011.04,304.9,85.93,3.13,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1655215,0.74,2.99,1.18,2.5,0.25,1.0,0.5,6.0,0.42,2.5,1.33,1041.33,306.17,83.26,1.7,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1655225,6.23,24.93,10.1,2.5,0.25,1.0,0.5,6.0,10.05,2.5,1.53,1036.2,305.99,83.26,3.01,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1655237,0.18,0.79,0.16,2.5,0.25,1.0,0.5,6.0,0.32,2.5,0.31,1030.79,305.16,83.26,1.8,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1656847,1.57,6.26,1.86,3.61,0.25,-0.8,-0.25,6.0,1.86,3.61,0.25,988.69,312.63,88.04,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1656897,26.04,86.79,8.71,10.24,0.3,-1.41,-0.25,6.0,0.3,10.24,8.71,987.67,308.52,84.72,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
